song_id,Song,Artist,Position,Last Week,Peak,Weeks on Chart,Week,Year,Decade,Month
932,LET THE MUSIC PLAY,SHANNON,96,LW:RE,51,4,1984-01-08,1984,1980,1
842,SONG TO THE SIN,THIS MORTAL COIL,97,LW:RE,66,6,1984-01-08,1984,1980,1
894,OWNER OF A LONELY HEART,YES,86,LW:RE,28,11,1984-01-15,1984,1980,1
983,SUNBURST AND SNOWBLIND,COCTEAU TWINS,90,LW:RE,86,5,1984-01-15,1984,1980,1
743,KARMA CHAMELEON,CULTURE CLUB,100,LW:RE,1,21,1984-02-05,1984,1980,2
1113,DAM OF THE WEST,YIP YIP COYOTE,100,LW:RE,97,2,1984-02-12,1984,1980,2
991,VICTIMS,CULTURE CLUB,80,LW:RE,3,11,1984-02-19,1984,1980,2
992,TELL HER ABOUT IT,BILLY JOEL,81,LW:RE,4,11,1984-02-19,1984,1980,2
1090,SAILING TO AMERICA,SAXON,92,LW:RE,81,4,1984-02-19,1984,1980,2
906,THIS CHARMING MAN,THE SMITHS,95,LW:RE,25,15,1984-02-19,1984,1980,2
842,SONG TO THE SIN,THIS MORTAL COIL,97,LW:RE,66,11,1984-02-19,1984,1980,2
936,MY OH MY,SLADE,100,LW:RE,2,12,1984-02-26,1984,1980,2
1119,ILLEGAL ALIEN,GENESIS,70,LW:RE,46,4,1984-03-04,1984,1980,3
956,ONLY YOU,THE FLYING PICKETS,96,LW:RE,1,12,1984-03-04,1984,1980,3
1131,"THE OTHER WOMAN, THE OTHER MAN",GERARD KENNY,84,LW:RE,69,6,1984-03-18,1984,1980,3
1058,WONDERLAND,BIG COUNTRY,87,LW:RE,8,9,1984-03-18,1984,1980,3
1059,HE COMES THE RAIN AGAIN,EURYTHMICS,89,LW:RE,8,9,1984-03-18,1984,1980,3
1074,LOVE THEME FROM 'THE THORN BIRDS',JUAN MARTIN,91,LW:RE,10,9,1984-03-18,1984,1980,3
1000,THE SOUND OF MUSIC,DAYTON,91,LW:RE,75,9,1984-03-25,1984,1980,3
270,BLUE MONDAY,NEW ORDER,96,LW:RE,9,50,1984-03-25,1984,1980,3
1098,YAH MO BE THE,JAMES INGRAM AND MICHAEL MCDONALD,71,LW:RE,44,9,1984-04-01,1984,1980,4
