artist_id,Artist
536,SEONA DANCING
537,O'CHI BROWN
538,RONDO VENEZIANO
539,AIR SUPPLY
540,FRANK STALLONE
541,GARY'S GANG
542,LEW KIRTON
543,THIS MORTAL COIL
544,GALAXY
545,THE CARPENTERS
546,CRUELLA DE VILLE
547,TIME ZONE
548,DAVID KNOPFLER
549,BONK
550,FRIENDS AGAIN
551,DIONNE WARWICK AND LUTHER VANDROSS
552,JOY DIVISION
553,AC/DC
554,CARAMBA
555,FLIRTATIONS
556,LIMAHL
557,MARILYN
558,MAJOR HARRIS
559,BRIAN MAY AND FRIENDS
560,YES
561,ELECTRIC BOOGIE
562,STREET ANGELS
563,CARE
564,ROSE MARIE
565,HELIX
566,JIMMY CLIFF
567,THE ROLLING STONES
568,ASSEMBLY
569,TOM ROBINSON AND CREW
570,THE SMITHS
571,KENNY ROGERS AND DOLLY PARTON
572,FRANKIE GOES TO HOLLYWOOD
573,DOLBY'S CUBE
574,NIK KERSHAW
575,GRANDMASTER FLASH AND MELLE MEL
576,BOB DYLAN
577,SPK
578,THE FOUR TOPS
579,HAINES GANG
580,IAN DURY
581,DELEGATION
582,TINA TURNER
583,SHANNON
584,ROLAND RAT SUPERSTAR
585,JULIAN COPE
586,CUBA GOODING
587,ARNIE'S LOVE
588,GROOVE WALKERS
589,FLESH FOR LULU
590,SIMPLE MINDS
591,THE PRETENDERS
592,THE WHO
593,THE FLYING PICKETS
594,EARTHA KITT
595,ARMENTA
596,KIRSTY MACCOLL
597,QUIET RIOT
598,THE KLAXONS
599,COCTEAU TWINS
600,EBONY BROTHERS
601,BING CROSBY AND GRACE KELLY
602,JJ BARRIE
603,DAYTON
604,JINGLE BELLES
605,BRIAN AND MICHAEL
606,DENNIS WATERMAN AND GEORGE COLE
607,TERRAHAWKS
608,PAUL MCCARTNEY
609,FRIDA AND BA ROBERTSON
610,MALCOLM McLAREN
611,GRANDMIXER
612,ADRIAN GURVITZ
613,ROCKERS
614,SNOWY WHITE
615,GLORIA GAYNOR
616,MICHAEL BARRYMORE
617,ELBOW BONES AND THE RACKETEERS
618,LYNYRD SKYNYRD
619,FRANK KELLY
620,JOE FAGIN
621,NATALIE CASEY
622,BING CROSBY
623,SURVIVOR
624,HOORAY AND THE HENRYS
625,SHAKY AND BONNIE
626,SNOWMAN ORIGINAL SOUNDTRACK
627,RICK SPRINGFIELD
628,CYNDI LAUPER
629,MADONNA
630,FICTION FACTORY
631,MIRAGE
632,BARBARA MASON
633,MATTHEW WILDER
634,FAD GADGET
635,KATRINA AND THE WAVES
636,JUDAS PRIEST
637,THE COLOUR FIELD
638,TALKING HEADS
639,THE MANHATTAN TRANSFER
640,GARY MOORE
641,PREFAB SPROUT
642,FIAT LUX
643,JUAN MARTIN
644,B-MOVIE
645,WATUSI BROTHERS
646,RICK JAMES AND SMOKEY ROBINSON
647,THE THREE DEGREES
648,RE-FLEX
649,WORLD PREMIERE
650,BREAK MACHINE
651,PALLAS
652,BOBBY NUNN
653,HASHIM
654,JB'S ALL STARS
655,JAMES INGRAM AND MICHAEL MCDONALD
656,GEORGE KRANZ
657,QUEEN
658,SWANS WAY
659,ROCKWELL
660,NENA
661,VAN HALEN
662,MATT BIANCO
663,PRIVATE LIVES
664,STEWART COPELAND AND STAN RIDGWAY
665,YIP YIP COYOTE
666,HAZEL O'CONNOR
667,HENRY MANCINI AND HIS ORCHESTRA
668,THE SCORPIONS
669,TINTIN
670,CAROL KENYON
671,GERARD KENNY
672,DEBBIE HARRY
673,MEL BROOKS
674,FASHION
675,THE BOOMTOWN RATS
676,FRAGGLES
677,WORLD FAMOUS SUPREME TEAM
678,SADE
679,MYSTERY GIRLS
680,TONY COOK AND THE PARTY PEOPLE
681,GARY PORTNOY
682,LOOSE ENDS
683,BLUE OYSTER CULT
684,INDIANS IN MOSCOW
685,ALEXEI SAYLE
686,RICHARD HARTLEY AND THE MICHAEL REED ORCHESTRA
687,GEORGE MCCRAE
688,LEFTURNO
689,ROGER DALTREY
690,WEST END
691,BOURGIE BOURGIE
692,ALABAMA
693,WAS (NOT WAS)
694,JULIA AND COMPANY
695,ASWAD
696,SCRITTI POLITTI
697,GENERAL PUBLIC
698,MILLIE JACKSON
699,KEITH AND DARRELL
700,EVAN ROGERS
701,TRANS LUX
702,BRYAN LOREN
703,PHIL FEARON AND GALAXY
704,AFRIKA BAMBAATAA AND THE SOUL SONIC FORCE
705,KING CRIMSON
706,J BLACKFOOT
707,BILLY IDOL
708,VIRGIN DANCE
709,WARREN MILLS
710,VITAMIN Z
711,DEE C LEE
712,LAID BACK
713,PROPAGANDA
714,CUTTING EDGE
715,SHIRLEY BASSEY
716,CHRISTINE LEWINS
717,TECHNOS
718,DOLLY PARTON
719,DENNIS EDWARDS AND SIEDAH GARRETT
720,JULIO IGLESIAS AND WILLIE NELSON
721,RUFUS AND CHAKA KHAN
722,CAMEO
723,THE PSYCHEDELIC FURS
724,MALCOLM X AND KEITH LE BLANC
725,ONE BLOOD
726,PAUL HARDCASTLE
727,WEIRD AL YANKOVIC
728,THE CRUSADERS
729,THE POINTER SISTERS
730,THE ART OF NOISE
731,JEFFREY DANIEL
732,ELAINE PAIGE
733,BARBARA DICKSON
734,STEVE LEVINE
735,KENNY G
736,EVELYN THOMAS
737,BELLE AND THE DEVOTIONS
738,BOBBY KING
739,RE FLEX
740,KERRI AND MICK
741,JOCELYN BROWN
742,SANDIE SHAW
743,REAL TO REEL
744,WOMACK AND WOMACK
745,THE KANE GANG
746,ROGER WATERS
747,KENNY LOGGINS
748,HAROLD MELVIN AND THE BLUENOTES
749,ALVIN STARDUST
750,PETER SCHILLING
751,DENIECE WILLIAMS
752,THE ROCK STEADY CREW
753,ADX
754,TRANS-X
755,JONATHAN KING
756,STARPOINT
757,DETROIT SPINNERS
758,MIKE READ
759,PAULINE BLACK WITH SUNDAY BEST
760,JIMMY RUFFIN AND JACKSON MOORE
761,LITA FORD
762,RONNIE MCNEIR
763,SHILLELAGH SISTERS
764,JERMAINE JACKSON
765,HELEN TERRY
766,CHRIS DE BURGH
767,LEE GREENWOOD
768,THOR
769,NICK LOWE
770,SISTER SLEDGE
771,THE CULT
772,THE HERREYS
773,VARIOUS ARTISTS
774,BRUCE SPRINGSTEEN
775,THE ART COMPANY
776,LLOYD COLE AND THE COMMOTIONS
777,MCFADDEN AND WHITEHEAD
778,EVERTON FOOTBALL CLUB
779,KING
780,AGENTS AREN'T AEROPLANES
781,DENNIS LAWSON
782,DAVID SYLVIAN
783,BRONSKI BEAT
784,CHANGE
785,MARC ALMOND
786,WORKING WEEK
787,WASP
788,BILLY OCEAN
789,PATRICE RUSHEN
790,BOBBY WOMACK
791,GARY GLITTER
792,LATIN ELECTRICA
793,JIM STEINMAN AND FIRE INC
794,DAISY CHAIN
795,THE SISTERS OF MERCY
796,ASSOCIATES
797,YVONNE GAGE
798,ROGER TAYLOR
799,LOU REED
800,STEVE PERRY
801,HI TENSION
802,WINDJAMMER
803,OLLIE AND JERRY
804,ALISON MOYET
805,LJ REYNOLDS
806,MIGHTY WAH!
807,GRANDMASTER MELLE MEL AND THE FURIOUS FIVE
808,DIFFORD AND TILBROOK
809,THE FALL
810,MIKE OLDFIELD AND MAGGIE REILLY
811,NICK CAVE & THE BAD SEEDS
812,BOOTHILL FOOT-TAPPERS
813,JULIO IGLESIAS AND DIANA ROSS
814,FLYING PICKETS
815,SMOKEY ROBINSON
816,DAVID AUSTIN
817,JACKSONS WITH MICK JAGGER
818,TYZIK
819,RED GUITARS
820,ARROW
821,NEIL
822,BAND OF GOLD
823,HUEY LEWIS AND THE NEWS
824,NINO DE ANGELO
825,TREVOR WALTERS
826,ATCO
827,JEFF LYNNE
828,JAKI GRAHAM
829,TONY JACKSON
830,JOHN LENNON AND YOKO ONO
831,PAUL GARDINER
832,DIANA ROSS AND MICHAEL JACKSON
833,SOUL SONIC FORCE
834,RICHARD 'DIMPLES' FIELDS
835,SIVUCA
836,M AND M
837,A BIGGER SPLASH
838,EARLENE BENTLEY
839,KEVIN THE GERBIL
840,GEORGE MICHAEL
841,CAROL LYNN TOWNES
842,PAUL QUINN AND EDWYN COLLINS
843,BLACK UHURU
844,VICIOUS PINK
845,MIAMI SOUND MACHINE
846,ALPHAVILLE
847,PATTI AUSTIN
848,THS - THE HORNE SECTION
849,THE COOL NOTES
850,ARMOURY SHOW
851,ASTRUD GILBERTO
852,ALICIA MYERS
853,RAY PARKER Jr.
854,ADVENTURES
855,ALIEN SEX FIEND
856,DAN HARTMAN
857,BLUE NILE
858,VISAGE
859,ROSE ROYCE
860,AFRIKA BAMBAATAA AND JAMES BROWN
861,THE BROTHERS JOHNSON
862,CHERYL LYNN
863,SENATE
864,GIL SCOTT-HERON
865,THE JACKSONS
866,ODYSSEY
867,JANET KAY
868,JETHRO TULL
869,THE EVERLY BROTHERS
870,KELLY
871,B BIZ
872,STEPHANIE MILLS
873,BILL NELSON
874,SAVAGE PROGRESS
875,GILBERTO GIL
876,THOMAS LEER
877,MARSEILLE
878,RALPH MACDONALD
879,PRINCE AND THE REVOLUTION
880,FREDDIE MERCURY
881,GIORGIO MORODER AND PHILIP OAKEY
882,SIMPLICIOUS
883,MIKE POST
884,THE CARS
885,JANET JACKSON AND CLIFF RICHARD
886,JOHN WAITE
887,INTRIGUE
888,HIGSONS
889,BARRY GIBB
890,POSITIVE NOISE
891,GETTING THE FEAR
892,FONDA RAE
893,JULIAN LENNON
894,EVELYN 'CHAMPAGNE' KING
